Name,Description,Group
Bentonite Clay,Improves soil water retention and reduces erosion,Soil Enhancers
Activated Charcoal,Enhances soil fertility and toxin absorption,Soil Enhancers
Lava Sand,Improves soil structureand provides minerals,Soil Enhancers
Neem Cake,Byproduct of neem oil extraction that adds nutrients and deters pests,Soil Enhancers
Erosion Control Blankets,Synthetic or natural fibers used to stabilize soil,Erosion Control
Jute Mesh,Natural fiber mesh for erosion control and seed germination,Erosion Control
Silt Fences,Barrier to trap sediment and reduce erosion,Erosion Control
Gravel,Used in areas prone to erosion to stabilize soil,Erosion Control
Soil Test Kits,To determine soil nutrient levels and pH,Soil Testing and pH Adjustment
pH Meters,For precise soil pH measurements,Soil Testing and pH Adjustment
Soil Test Labs,Professional services forin-depth soil analysis,Soil Testing and pH Adjustment
Cement,Mixed with soil for stabilization in construction projects,Soil Stabilizers
Lime Stabilization,Improves the strength and durability of soil for construction,Soil Stabilizers
Hydrogel,Water-retaining crystals that help with drought conditions,Specialty Soil Materials
Moss,Used in specific landscape settings for aesthetic and functional purposes,Specialty Soil Materials
Composted Mushroom Substrate,Adds organic matter and nutrients,Specialty Soil Materials
Mycorrhizal Fungi,Symbiotic fungi that enhance nutrient uptake by plants,Specialty Soil Materials
Earthworm Castings,Highly nutritious waste from earthworms,Specialty Soil Materials
Bokashi,Fermented organic matter that improves soil health,Specialty Soil Materials
Crimson Clover,Nitrogen-fixing legume,Cover Crops
Winter Rye,Cover crop that improves soil structureand prevents erosion,Cover Crops
Buckwheat,Quick-growing cover crop that suppresses weeds and adds organic matter,Cover Crops
Oats,Provides organic matter and helps with soil structure,Cover Crops
Phytoremediation Plants,Plants used to remove contaminants from soil,Soil Remediation
Activated Sludge,Used in bioremediation to clean up contaminated soils,Soil Remediation
Contour Plowing,Technique for reducing soil erosion on slopes,Soil Conservation
Terracing,Creating flat areas on slopes to reduce erosion and runoff,Soil Conservation
Sodium Bicarbonate,Can be used to raise soil pH in certain situations,Soil Additives
Calcium Sulfate,Improves soil structureand provides calcium,Soil Additives
Sawdust,Can be used as mulch or compost ingredient,Miscellaneous
Crushed Granite,Adds minerals and improves soil structure,Miscellaneous
Rock Dust,Provides trace minerals to the soil,Miscellaneous
Pond Soil,Adds unique properties and nutrients to garden soil,Miscellaneous
Coffee Grounds,Adds nitrogen and improves soil texture,Miscellaneous
Eggshells,Provides calcium and improves soil aeration,Miscellaneous
Plastic Mulch,Conserves moisture and warms the soil,Miscellaneous
Green Waste,Kitchen scraps and garden waste used in composting,Miscellaneous
Cottonseed Meal,Provides nitrogen and improves soil fertility,Miscellaneous
Grapefruit Rinds,Can be composted to add nutrients,Miscellaneous
Epsom Salts,Provides magnesium to the soil,Miscellaneous
Bone Char,Used to enhance soil fertility and improve soil structure,Miscellaneous
Wood Pellets,Used for soil conditioning and mulching,Miscellaneous
Tea Leaves,Add organic matter and nutrients when composted,Miscellaneous
Banana Peels,Provide potassium and compost well,Miscellaneous
Ash from Wood Stoves,Can add potassium and lime,Miscellaneous
Worm Castings,Provides nutrients and improves soil structure,Miscellaneous
Silica Sand,Improves soil drainage and aeration,Miscellaneous
Shells (e.g., Oyster Shells),Provide calcium and improve soil structure,Miscellaneous
Green Tea,Can be used in composting to add nutrients,Miscellaneous
