_id,name,description,genus_id
66b55b1a9c3d4e5f6a7b8cae,Philo Billietiae,While this Philodendron plant can grow up to five feet tall its leaves are significantly impressive They can reach three feet long and ten inches wide so plant lovers should ensure their Billietiae has plenty of space see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8caf,Philo Heartleaf Varigated,Variegated is an attractive houseplant because of its beautiful heart-shaped leaves and low-maintenance needs,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8cb0,Philo Mamei,a beautiful tropical plant to own Its heart-shaped bright green leaves show silver markings resembling smudges and giving it a cloud-like appearance,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8cb1,Philo Moonlight,The Moonlight Philodendron is a non-vining variety and typically grows in clumps as a dense shrub-like plant Even so Moonlight can reach up to two feet tall and over two feet wide at maturity New leaves come in lime green or bright yellow with the color losing intensity as it grows and eventually altering to a darker green,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8cb2,Philo Micans Variegated,Growing philodendron with pink white and green variegation see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b81b7,Philo Orange Marmalade,Maroon and green philodendron with a orange leaf to top it off,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b81b8,Philo Florida Mint,Mint looking philodendron see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7b8118,Philo Florida Beauty,Yellow and dark green philodendron see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8118,Philo Aurea Mican,Yellow and dark green with some pink philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8119,Philo Copper Flame,Paddle-shaped leaves emerge a metallic copper before maturing to creamy green variegation an upright stunner you will not see everywhere see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8120,Philo Jungle Boogie,Deeply undulating edges and wild tropical flair this cultivar looks like it is ready to dance its way into your collection see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8121,Philo Spiritus Sancti,Known as the Holy Ghost philodendron it features incredibly long narrow pendent leaves and requires high humidity see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8122,Philo Red Medusa,A rare variety included in collector lists for its unique coloration see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8123,Philo White Measure,A collectible variety noted for its foliage see https://edsplantshop.com/blogs/info-education/the-rare-philodendron-collector-s-guide,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8124,Philo Brandi,Also known as Philodendron brandtianum it features silver markings on olive green leaves see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8125,Philo Gloriosum,A terrestrial crawler with large velvety green leaves and striking white veins requires rectangular pots see https://plnts.com/en/blog/most-wanted-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8126,Philo Rugosum,Known for its thick leathery leaves with a wrinkled texture see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8127,Philo Verrucosum,Features velvety dark green leaves with bright green veining and red undersides requires high humidity see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8128,Philo Burle Marx,A fast-growing shrub-like philodendron with shiny elongated heart-shaped leaves see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8129,Philo Giganteum,Produces massive glossy green leaves and can grow to enormous sizes see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8130,Philo Camposportoanum,Leaves change shape dramatically as they mature often developing velvety textures and lobes see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8131,Philo Mayoi,Resembles a fern or palm with deeply cut pinnatifid leaves and reddish petioles see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8132,Philo Imperial Red,Self-heading variety with leaves that emerge purple-red and mature to maroon-green see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8133,Philo Rojo Congo,A robust self-heading hybrid with copper-red new growth and dark green mature foliage see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8134,Philo Summer Glory,A hybrid of P gloriosum featuring large leaves with reddish margins see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8135,Philo Black Cardinal,Features broad dark leaves that emerge bronze and mature to nearly black see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8136,Philo Prince of Orange,Self-heading plant where new leaves emerge bright orange and fade to pale green see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8137,Philo McColleys Finale,Known for its chestnut-colored new foliage and cinnamon hues see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8138,Philo White Princess,Features green stems with pink edges and leaves with white variegation see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8139,Philo Micans,Velvet leaf philodendron with bronze to dark green heart-shaped leaves see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8140,Philo Splendid,A hybrid of P verrucosum and P melanochrysum featuring large velvety leaves see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8141,Philo Caramel Marble,Rare variety with serrated leaves featuring caramel cream and green variegation see https://plnts.com/en/blog/most-wanted-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8142,Philo Tortum,Features deeply divided skeleton-like leaves giving it a palm-like appearance see https://plnts.com/en/blog/most-wanted-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8143,Philo Plowmanii,A terrestrial creeper with heart-shaped bicolored leaves and ruffled petioles see https://plnts.com/en/blog/most-wanted-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8144,Philo Black Cherry Pink Princess,A selected cultivar of Pink Princess with intense deep purple-black leaves and pink variegation see https://www.plantvault.com/blogs/blog/27-philodendron-varieties,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8145,Philo Squamiferum,Red Bristle Philodendron known for its fuzzy red petioles and oak-shaped leaves see https://labijo.id/philodendron-rare-index-by-kaylee-ellen/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8146,Philo Bipennifolium,Features horse-head shaped leaves and is a vigorous climber see https://labijo.id/philodendron-rare-index-by-kaylee-ellen/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8147,Philo Golden Dragon,Has shiny deep green leaves shaped like dragon heads often speckled with gold see https://labijo.id/philodendron-rare-index-by-kaylee-ellen/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8148,Philo Red Congo Variegated,A variegated form of the robust Red Congo with striking color patterns see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8149,Philo Scarlet Princess,A mutation of Red Anderson with unique variegation see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8150,Philo Emerald Ice,A variegated philodendron variety see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8151,Philo Green Congo Variegated,The variegated form of the Green Congo philodendron see https://www.rareplantfairy.com/collections/philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8152,Philo Cordatum,Often confused with hederaceum this species has heart-shaped leaves see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8153,Philo Neon,Features bright neon yellow-green foliage similar to Lemon Lime see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8154,Philo Dragon Tail,A climbing variety with pinnatifid leaves see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8155,Philo Choco Empress,Features dark brownish-green foliage with a regal appearance see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8156,Philo Paraiso Verde,Known for its long mottled green variegated leaves that intensify in heat see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8157,Philo Congo Green,A solid green self-heading variety that is very hardy see https://mountaincrestgardens.com/philodendron/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8158,Philo Mia,Also known as Green Princess it is a compact self-heading green philodendron see https://www.gardeningknowhow.com/houseplants/8-best-types-of-philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8159,Philo Xanadu,Compact bush-like plant with deeply lobed leaves formerly classified as Philodendron see https://www.gardeningknowhow.com/houseplants/8-best-types-of-philodendron,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8160,Philo Green Princess,Small compact plant with glossy oval green leaves perfect for tabletops see https://www.thespruce.com/types-of-philodendron-5224436,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8161,Philo Dark Lord,Features deep orange to blood-red new leaves that mature to dark metallic maroon see https://www.thespruce.com/philodendron-dark-lord-care-8611557,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8162,Philo White Wizard,Features green stems with white variegation and cordate leaves see https://hillermann.wordpress.com/plant-info/houseplant-articles/philodendron-white-wizard/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8163,Philo Pastazanum,A creeper with large pillowy green leaves and D-shaped petioles see https://goldleafbotanicals.ca/products/philodendron-pastazanum,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8164,Philo Imperial Green,Features glossy deep green leaves and upright growth habit see https://www.thespruce.com/philodendron-imperial-green-care-guide-8418910,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8165,Philo Melanochrysum,Black Gold Philodendron with long velvety leaves that shimmer see https://gardenbetty.com/philodendron-varieties/,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8166,Philo Red Emerald,A vigorous climber with red stems and green leaves often used in hybridization see https://www.thespruce.com/grow-philodendron-houseplants-1902768,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8167,Philo Pedatum,Features deeply lobed green leaves and is a parent to Florida hybrids see https://www.thespruce.com/grow-philodendron-houseplants-1902768,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8168,Philo Florida Green,Solid green hybrid of Squamiferum and Pedatum see https://www.thespruce.com/grow-philodendron-houseplants-1902768,65cd7a8e9b72e6c8940d523f
66b55b1a9c3d4e5f6a7c8169,Philo Hastatum,Also known as Silver Sword it has metallic silver-blue foliage see https://plnts.com/en/blog/most-wanted-philodendron-varieties,65cd7a8e9b72e6c8940d523f
